DATE,VIX
1/5/2022,19.73
1/6/2022,19.61
1/7/2022,18.76
1/10/2022,19.4
1/11/2022,18.41
1/12/2022,17.62
1/13/2022,20.31
1/14/2022,19.19
1/18/2022,22.79
1/19/2022,23.85
1/20/2022,25.59
1/21/2022,28.85
1/24/2022,29.9
1/25/2022,31.16
1/26/2022,31.96
1/27/2022,30.49
1/28/2022,27.66
1/31/2022,24.83
2/1/2022,21.96
2/2/2022,22.09
2/3/2022,24.35
2/4/2022,23.22
2/7/2022,22.86
2/8/2022,21.44
2/9/2022,19.96
2/10/2022,23.91
2/11/2022,27.36
2/14/2022,28.33
2/15/2022,25.7
2/16/2022,24.29
2/17/2022,28.11
2/18/2022,27.75
2/22/2022,28.81
2/23/2022,31.02
2/24/2022,30.32
2/25/2022,27.59
2/28/2022,30.15
3/1/2022,33.32
3/2/2022,30.74
3/3/2022,30.48
3/4/2022,31.98
3/7/2022,36.45
3/8/2022,35.13
3/9/2022,32.45
3/10/2022,30.23
3/11/2022,30.75
3/14/2022,31.77
3/15/2022,29.83
3/16/2022,26.67
3/17/2022,25.67
3/18/2022,23.87
3/21/2022,23.53
3/22/2022,22.94
3/23/2022,23.57
3/24/2022,21.67
3/25/2022,20.81
3/28/2022,19.63
3/29/2022,18.9
3/30/2022,19.33
3/31/2022,20.56
4/1/2022,19.63
4/4/2022,18.57
4/5/2022,21.03
4/6/2022,22.1
4/7/2022,21.55
4/8/2022,21.16
4/11/2022,24.37
4/12/2022,24.26
4/13/2022,21.82
4/14/2022,22.7
4/18/2022,22.17
4/19/2022,21.37
4/20/2022,20.32
4/21/2022,22.68
4/22/2022,28.21
4/25/2022,27.02
4/26/2022,33.52
4/27/2022,31.6
4/28/2022,29.99
4/29/2022,33.4
5/2/2022,32.34
5/3/2022,29.25
5/4/2022,25.42
5/5/2022,31.2
5/6/2022,30.19
5/9/2022,34.75
5/10/2022,32.99
5/11/2022,32.56
5/12/2022,31.77
5/13/2022,28.87
5/16/2022,27.47
5/17/2022,26.1
5/18/2022,30.96
5/19/2022,29.35
5/20/2022,29.43
5/23/2022,28.48
5/24/2022,29.45
5/25/2022,28.37
5/26/2022,27.5
5/27/2022,25.72
5/30/2022,26.54
5/31/2022,26.19
6/1/2022,25.69
6/2/2022,24.72
6/3/2022,24.79
6/6/2022,25.07
6/7/2022,24.02
6/8/2022,23.96
6/9/2022,26.09
6/10/2022,27.75
6/13/2022,34.02
6/14/2022,32.69
6/15/2022,29.62
6/16/2022,32.95
6/17/2022,31.13
6/20/2022,31.03
6/21/2022,30.19
6/22/2022,28.95
6/23/2022,29.05
6/24/2022,27.23
6/27/2022,26.95
6/28/2022,28.36
6/29/2022,28.16
6/30/2022,28.71
7/1/2022,26.7
7/4/2022,27.53
7/5/2022,27.54
7/6/2022,26.73
7/7/2022,26.08
7/8/2022,24.64
7/11/2022,26.17
7/12/2022,27.29
7/13/2022,26.82
7/14/2022,26.4
7/15/2022,24.23
7/18/2022,25.3
7/19/2022,24.5
7/20/2022,23.88
7/21/2022,23.11
7/22/2022,23.03
7/25/2022,23.36
7/26/2022,24.69
7/27/2022,23.24
7/28/2022,22.33
7/29/2022,21.33
8/1/2022,22.84
8/2/2022,23.93
8/3/2022,21.95
8/4/2022,21.44
8/5/2022,21.15
8/8/2022,21.29
8/9/2022,21.77
8/10/2022,19.74
8/11/2022,20.2
8/12/2022,19.53
8/15/2022,19.95
8/16/2022,19.69
8/17/2022,19.9
8/18/2022,19.56
8/19/2022,20.6
8/22/2022,23.8
8/23/2022,24.11
8/24/2022,22.82
8/25/2022,21.78
8/26/2022,25.56
8/29/2022,26.21
8/30/2022,26.21
8/31/2022,25.87
9/1/2022,25.56
9/2/2022,25.47
9/5/2022,25.99
9/6/2022,26.91
9/7/2022,24.64
9/8/2022,23.61
9/9/2022,22.79
9/12/2022,23.87
9/13/2022,27.27
9/14/2022,26.16
9/15/2022,26.27
9/16/2022,26.3
9/19/2022,25.76
9/20/2022,27.16
9/21/2022,27.99
9/22/2022,27.35
9/23/2022,29.92
9/26/2022,32.26
9/27/2022,32.6
9/28/2022,30.18
9/29/2022,31.84
9/30/2022,31.62
10/3/2022,30.1
10/4/2022,29.07
10/5/2022,28.55
10/6/2022,30.52
10/7/2022,31.36
10/10/2022,32.45
10/11/2022,33.63
10/12/2022,33.57
10/13/2022,31.94
10/14/2022,32.02
10/17/2022,31.37
10/18/2022,30.5
10/19/2022,30.76
10/20/2022,29.98
10/21/2022,29.69
10/24/2022,29.85
10/25/2022,28.46
10/26/2022,27.28
10/27/2022,27.39
10/28/2022,25.75
10/31/2022,25.88
11/1/2022,25.81
11/2/2022,25.86
11/3/2022,25.3
11/4/2022,24.55
11/7/2022,24.35
11/8/2022,25.54
11/9/2022,26.09
11/10/2022,23.53
11/11/2022,22.52
11/14/2022,23.73
11/15/2022,24.54
11/16/2022,24.11
11/17/2022,23.93
11/18/2022,23.12
11/21/2022,22.36
11/22/2022,21.29
11/23/2022,20.35
11/24/2022,20.42
11/25/2022,20.5
11/28/2022,22.21
11/29/2022,21.89
11/30/2022,20.58
12/1/2022,19.84
12/2/2022,19.06
12/5/2022,20.75
12/6/2022,22.17
12/7/2022,22.68
12/8/2022,22.29
12/9/2022,22.83
12/12/2022,25
12/13/2022,22.55
12/14/2022,21.14
12/15/2022,22.83
12/16/2022,22.62
12/19/2022,22.42
12/20/2022,21.48
12/21/2022,20.07
12/22/2022,21.97
12/23/2022,20.87
12/27/2022,21.65
12/28/2022,22.14
12/29/2022,21.44
12/30/2022,21.67
1/3/2023,22.9
1/4/2023,22.01
1/5/2023,22.46
1/6/2023,21.13
1/9/2023,21.97
1/10/2023,20.58
1/11/2023,21.09
1/12/2023,18.83
1/13/2023,18.35
1/16/2023,19.49
1/17/2023,19.36
1/18/2023,20.34
1/19/2023,20.52
1/20/2023,19.85
1/23/2023,19.81
1/24/2023,19.2
1/25/2023,19.08
1/26/2023,18.73
1/27/2023,18.51
1/30/2023,19.94
1/31/2023,19.4
2/1/2023,17.87
2/2/2023,18.73
2/3/2023,18.33
2/6/2023,19.43
2/7/2023,18.66
2/8/2023,19.63
2/9/2023,20.71
2/10/2023,20.53
2/13/2023,20.34
2/14/2023,18.91
2/15/2023,18.23
2/16/2023,20.17
2/17/2023,20.02
2/20/2023,21.23
2/21/2023,22.87
2/22/2023,22.29
2/23/2023,21.14
2/24/2023,21.67
2/27/2023,20.95
2/28/2023,20.7
3/1/2023,20.58
3/2/2023,19.59
3/3/2023,18.49
3/6/2023,18.61
3/7/2023,19.59
3/8/2023,19.11
3/9/2023,22.61
3/10/2023,24.8
3/13/2023,26.52
3/14/2023,23.73
3/15/2023,26.14
3/16/2023,22.99
3/17/2023,25.51
3/20/2023,24.15
3/21/2023,21.38
3/22/2023,22.26
3/23/2023,22.61
3/24/2023,21.74
3/27/2023,20.6
3/28/2023,19.97
3/29/2023,19.12
3/30/2023,19.02
3/31/2023,18.7
4/3/2023,18.55
4/4/2023,19
4/5/2023,19.08
4/6/2023,18.4
4/10/2023,18.97
4/11/2023,19.1
4/12/2023,19.09
4/13/2023,17.8
4/14/2023,17.07
4/17/2023,16.95
4/18/2023,16.83
4/19/2023,16.46
4/20/2023,17.17
4/21/2023,16.77
4/24/2023,16.89
4/25/2023,18.76
4/26/2023,18.84
4/27/2023,17.03
4/28/2023,15.78
5/1/2023,16.08
5/2/2023,17.78
5/3/2023,18.34
5/4/2023,20.09
5/5/2023,17.19
5/8/2023,16.98
5/9/2023,17.71
5/10/2023,16.94
5/11/2023,16.93
5/12/2023,17.03
5/15/2023,17.12
5/16/2023,17.99
5/17/2023,16.87
5/18/2023,16.05
5/19/2023,16.81
5/22/2023,17.21
5/23/2023,18.53
5/24/2023,20.03
5/25/2023,19.14
5/26/2023,17.95
5/29/2023,17.46
5/30/2023,17.46
5/31/2023,17.94
6/1/2023,15.65
6/2/2023,14.6
6/5/2023,14.73
6/6/2023,13.96
6/7/2023,13.94
6/8/2023,13.65
6/9/2023,13.83
6/12/2023,15.01
6/13/2023,14.61
6/14/2023,13.88
6/15/2023,14.5
6/16/2023,13.54
6/19/2023,14.19
6/20/2023,13.88
6/21/2023,13.2
6/22/2023,12.91
6/23/2023,13.44
6/26/2023,14.25
6/27/2023,13.74
6/28/2023,13.43
6/29/2023,13.54
6/30/2023,13.59
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
